starttime	seconds	ctime	dtime	ttime	wait
Sat Jul 08 00:20:44 2017	1499484044	0	355	355	350
Sat Jul 08 00:20:47 2017	1499484047	0	355	355	350
Sat Jul 08 00:20:48 2017	1499484048	0	355	355	350
Sat Jul 08 00:20:40 2017	1499484040	0	355	355	350
Sat Jul 08 00:20:50 2017	1499484050	0	356	356	351
Sat Jul 08 00:20:48 2017	1499484048	0	356	356	350
Sat Jul 08 00:20:44 2017	1499484044	0	356	356	350
Sat Jul 08 00:20:54 2017	1499484054	0	357	357	350
Sat Jul 08 00:20:43 2017	1499484043	0	358	358	352
Sat Jul 08 00:20:41 2017	1499484041	0	358	358	353
Sat Jul 08 00:20:51 2017	1499484051	0	358	358	353
Sat Jul 08 00:20:49 2017	1499484049	0	359	359	352
Sat Jul 08 00:20:46 2017	1499484046	0	360	360	353
Sat Jul 08 00:20:52 2017	1499484052	0	360	360	355
Sat Jul 08 00:20:52 2017	1499484052	0	360	360	355
Sat Jul 08 00:20:52 2017	1499484052	0	361	361	356
Sat Jul 08 00:20:50 2017	1499484050	0	361	361	356
Sat Jul 08 00:20:52 2017	1499484052	0	361	361	356
Sat Jul 08 00:20:38 2017	1499484038	1	362	362	357
Sat Jul 08 00:20:48 2017	1499484048	0	362	362	357
Sat Jul 08 00:20:42 2017	1499484042	0	363	364	353
Sat Jul 08 00:20:53 2017	1499484053	0	364	364	359
Sat Jul 08 00:20:38 2017	1499484038	0	366	366	328
Sat Jul 08 00:20:45 2017	1499484045	0	367	368	360
Sat Jul 08 00:20:51 2017	1499484051	0	368	368	363
Sat Jul 08 00:20:50 2017	1499484050	0	368	368	363
Sat Jul 08 00:20:53 2017	1499484053	0	369	369	364
Sat Jul 08 00:20:38 2017	1499484038	0	369	369	364
Sat Jul 08 00:20:38 2017	1499484038	0	370	370	363
Sat Jul 08 00:20:43 2017	1499484043	0	370	370	360
Sat Jul 08 00:20:38 2017	1499484038	0	371	371	362
Sat Jul 08 00:20:51 2017	1499484051	0	371	371	366
Sat Jul 08 00:20:47 2017	1499484047	0	371	371	365
Sat Jul 08 00:20:46 2017	1499484046	0	372	372	365
Sat Jul 08 00:20:55 2017	1499484055	0	373	373	368
Sat Jul 08 00:20:53 2017	1499484053	0	374	374	369
Sat Jul 08 00:20:49 2017	1499484049	0	374	374	369
Sat Jul 08 00:20:41 2017	1499484041	0	375	375	370
Sat Jul 08 00:20:40 2017	1499484040	0	376	376	371
Sat Jul 08 00:20:41 2017	1499484041	0	376	376	370
Sat Jul 08 00:20:47 2017	1499484047	0	377	377	372
Sat Jul 08 00:20:40 2017	1499484040	0	377	378	373
Sat Jul 08 00:20:54 2017	1499484054	0	378	378	373
Sat Jul 08 00:20:54 2017	1499484054	0	379	379	372
Sat Jul 08 00:20:49 2017	1499484049	0	379	379	372
Sat Jul 08 00:20:48 2017	1499484048	0	379	379	373
Sat Jul 08 00:20:54 2017	1499484054	0	380	380	375
Sat Jul 08 00:20:55 2017	1499484055	0	381	381	376
Sat Jul 08 00:20:46 2017	1499484046	0	382	382	375
Sat Jul 08 00:20:49 2017	1499484049	0	383	383	378
Sat Jul 08 00:20:44 2017	1499484044	0	383	383	378
Sat Jul 08 00:20:47 2017	1499484047	0	383	383	378
Sat Jul 08 00:20:55 2017	1499484055	0	383	383	377
Sat Jul 08 00:20:42 2017	1499484042	0	384	384	377
Sat Jul 08 00:20:41 2017	1499484041	0	384	384	378
Sat Jul 08 00:20:39 2017	1499484039	0	384	384	347
Sat Jul 08 00:20:42 2017	1499484042	0	384	384	378
Sat Jul 08 00:20:40 2017	1499484040	0	384	385	378
Sat Jul 08 00:20:55 2017	1499484055	0	385	385	380
Sat Jul 08 00:20:42 2017	1499484042	0	385	385	379
Sat Jul 08 00:20:39 2017	1499484039	0	386	386	379
Sat Jul 08 00:20:45 2017	1499484045	0	386	386	377
Sat Jul 08 00:20:50 2017	1499484050	0	387	387	382
Sat Jul 08 00:20:39 2017	1499484039	0	387	388	381
Sat Jul 08 00:20:45 2017	1499484045	0	388	388	379
Sat Jul 08 00:20:46 2017	1499484046	0	388	389	382
Sat Jul 08 00:20:42 2017	1499484042	0	389	389	384
Sat Jul 08 00:20:45 2017	1499484045	0	390	390	383
Sat Jul 08 00:20:44 2017	1499484044	0	390	390	385
Sat Jul 08 00:20:40 2017	1499484040	0	390	390	383
Sat Jul 08 00:20:54 2017	1499484054	0	390	390	385
Sat Jul 08 00:20:52 2017	1499484052	0	391	391	385
Sat Jul 08 00:20:44 2017	1499484044	0	391	391	385
Sat Jul 08 00:20:48 2017	1499484048	0	392	392	384
Sat Jul 08 00:20:48 2017	1499484048	0	392	392	387
Sat Jul 08 00:20:41 2017	1499484041	0	392	392	386
Sat Jul 08 00:20:45 2017	1499484045	0	393	393	386
Sat Jul 08 00:20:44 2017	1499484044	0	393	393	388
Sat Jul 08 00:20:43 2017	1499484043	0	393	393	386
Sat Jul 08 00:20:53 2017	1499484053	0	393	393	388
Sat Jul 08 00:20:51 2017	1499484051	0	394	394	389
Sat Jul 08 00:20:52 2017	1499484052	0	394	394	389
Sat Jul 08 00:20:51 2017	1499484051	0	394	394	389
Sat Jul 08 00:20:50 2017	1499484050	0	394	394	389
Sat Jul 08 00:20:49 2017	1499484049	0	395	395	388
Sat Jul 08 00:20:38 2017	1499484038	1	394	395	389
Sat Jul 08 00:20:52 2017	1499484052	0	396	396	391
Sat Jul 08 00:20:48 2017	1499484048	0	398	398	391
Sat Jul 08 00:20:45 2017	1499484045	0	398	398	392
Sat Jul 08 00:20:46 2017	1499484046	0	399	399	392
Sat Jul 08 00:20:50 2017	1499484050	0	400	400	395
Sat Jul 08 00:20:46 2017	1499484046	0	400	400	393
Sat Jul 08 00:20:55 2017	1499484055	0	400	400	395
Sat Jul 08 00:20:46 2017	1499484046	0	401	401	395
Sat Jul 08 00:20:55 2017	1499484055	0	402	402	397
Sat Jul 08 00:20:51 2017	1499484051	0	402	402	397
Sat Jul 08 00:20:38 2017	1499484038	0	403	403	397
Sat Jul 08 00:20:53 2017	1499484053	0	403	403	397
Sat Jul 08 00:20:50 2017	1499484050	0	404	404	399
Sat Jul 08 00:20:53 2017	1499484053	0	404	404	399
Sat Jul 08 00:20:46 2017	1499484046	0	406	406	401
Sat Jul 08 00:20:47 2017	1499484047	0	406	406	401
Sat Jul 08 00:20:49 2017	1499484049	0	407	408	401
Sat Jul 08 00:20:47 2017	1499484047	0	408	408	404
Sat Jul 08 00:20:43 2017	1499484043	0	409	409	402
Sat Jul 08 00:20:39 2017	1499484039	0	409	409	403
Sat Jul 08 00:20:41 2017	1499484041	0	410	410	404
Sat Jul 08 00:20:38 2017	1499484038	0	410	410	405
Sat Jul 08 00:20:53 2017	1499484053	0	411	411	405
Sat Jul 08 00:20:49 2017	1499484049	0	411	411	406
Sat Jul 08 00:20:47 2017	1499484047	0	412	412	407
Sat Jul 08 00:20:41 2017	1499484041	0	414	415	410
Sat Jul 08 00:20:49 2017	1499484049	0	415	415	408
Sat Jul 08 00:20:50 2017	1499484050	0	418	418	413
Sat Jul 08 00:20:42 2017	1499484042	0	418	418	413
Sat Jul 08 00:20:43 2017	1499484043	0	419	419	414
Sat Jul 08 00:20:43 2017	1499484043	0	419	419	414
Sat Jul 08 00:20:42 2017	1499484042	0	419	419	413
Sat Jul 08 00:20:40 2017	1499484040	0	419	419	413
Sat Jul 08 00:20:54 2017	1499484054	0	420	420	414
Sat Jul 08 00:20:45 2017	1499484045	0	420	420	414
Sat Jul 08 00:20:39 2017	1499484039	0	420	421	414
Sat Jul 08 00:20:55 2017	1499484055	0	421	421	414
Sat Jul 08 00:20:40 2017	1499484040	0	421	421	416
Sat Jul 08 00:20:54 2017	1499484054	0	421	421	414
Sat Jul 08 00:20:49 2017	1499484049	0	423	423	418
Sat Jul 08 00:20:44 2017	1499484044	0	423	424	419
Sat Jul 08 00:20:48 2017	1499484048	0	424	424	419
Sat Jul 08 00:20:44 2017	1499484044	0	424	424	418
Sat Jul 08 00:20:51 2017	1499484051	0	424	424	419
Sat Jul 08 00:20:40 2017	1499484040	0	424	424	418
Sat Jul 08 00:20:52 2017	1499484052	0	425	425	420
Sat Jul 08 00:20:51 2017	1499484051	0	425	426	420
Sat Jul 08 00:20:39 2017	1499484039	0	426	426	419
Sat Jul 08 00:20:51 2017	1499484051	0	426	426	421
Sat Jul 08 00:20:52 2017	1499484052	0	426	426	421
Sat Jul 08 00:20:48 2017	1499484048	0	427	427	420
Sat Jul 08 00:20:38 2017	1499484038	0	426	427	421
Sat Jul 08 00:20:52 2017	1499484052	0	428	428	423
Sat Jul 08 00:20:53 2017	1499484053	0	428	428	423
Sat Jul 08 00:20:44 2017	1499484044	0	428	428	423
Sat Jul 08 00:20:42 2017	1499484042	0	430	430	423
Sat Jul 08 00:20:46 2017	1499484046	0	430	430	423
Sat Jul 08 00:20:50 2017	1499484050	0	432	432	427
Sat Jul 08 00:20:45 2017	1499484045	0	432	432	427
